Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Academic Year
"Àbíké-Íyímídé, Faridah",Ace of Spades,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,2021-2022
"Acevedo, Elizabeth",Clap When You Land,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Acevedo, Elizabeth",The Poet X,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,2021-2022
"Acevedo, Elizabeth",The Poet X,Banned in Libraries and Classrooms,,,,New York,Marlboro Central School District,February 2022,Administrator,2021-2022
"Acevedo, Elizabeth",The Poet X,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator,2021-2022
"Acevedo, Elizabeth",The Poet X,Banned in Libraries,,,,Virginia,New Kent County Public Schools,October 2021,Administrator,2021-2022
"Aciman, André",Call Me By Your Name (Call Me By Your Name Series),Banned Pending Investigation,,,,Virginia,Spotsylvania County Public Schools,November 2021,Administrator,2021-2022
"Acito, Marc","How I Paid for College: A Novel of Sex, Theft, Friendship & Musical Theater (Edward Zanni Series)",Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator,2021-2022
"Ada, Alma Flor",My Name Is María Isabel,Banned Pending Investigation,,"Thompson, Kathryn Dyble","Cerro, Ana M.",Florida,Duval County Public Schools,January 2022,Administrator,2021-2022
"Addasi, Maha",Time to Pray,Banned Pending Investigation,,"Gannon, Ned","Albitar, Nuha",Florida,Duval County Public Schools,January 2022,Administrator,2021-2022
"Adeyemi, Tomi",Children of Blood and Bone (Legacy of Orïsha Series),Banned Pending Investigation,,,,Texas,Katy Independent School District,January 2022,Administrator,2021-2022
"Adeyoha, Koja","47,000 Beads",Banned in Classrooms,"Adeyoha, Angel","McGillis, Holly",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Adichie, Chimamanda Ngozi",Half of a Yellow Sun,Banned in Classrooms,,,,Michigan,Hudsonville Public Schools,January 2022,Formal Challenge,2021-2022
"Adler, Dahlia",Cool for the Summer,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Agell, Charlotte",The Accidental Adventures of India McAllister,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Ahmadi, Arvin",How It All Blew Up,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Ahmadi, Arvin",How It All Blew Up,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Ahmed, Roda",Mae Among the Stars,Banned in Classrooms,,"Burrington, Stasia",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Ahmed, Samira","Love, Hate & Other Filters",Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator,2021-2022
"Ahmed, Samira","Love, Hate & Other Filters",Banned in Libraries,,,,Wisconsin,School District of Waukesha,December 2021,Administrator,2021-2022
"Ahmed, Sara K.",Being the Change: Lessons and Strategies to Teach Social Comprehension,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Ahmed, Sara K.",Being the Change: Lessons and Strategies to Teach Social Comprehension,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Albertalli, Becky",Here's to Us,Banned Pending Investigation,"Silvera, Adam",,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Albertalli, Becky",Kate in Waiting,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Albertalli, Becky",Leah on the Offbeat (Simonverse Series),Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator,2021-2022
"Albertalli, Becky",Leah on the Offbeat (Simonverse Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Albertalli, Becky","Love, Creekwood: A Simonverse Novella (Simonverse Series)",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda (Simonverse Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda (Simonverse Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,2021-2022
"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda (Simonverse Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Albertalli, Becky",The Upside of Unrequited (Simonverse Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Albertalli, Becky",The Upside of Unrequited (Simonverse Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,2021-2022
"Albertalli, Becky",The Upside of Unrequited (Simonverse Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Albertalli, Becky",What If It's Us (What If It's Us Series),Banned Pending Investigation,"Silvera, Adam",,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Albertalli, Becky",What If It's Us (What If It's Us Series),Banned Pending Investigation,"Silvera, Adam",,,Texas,Granbury Independent School District,January 2022,Administrator,2021-2022
"Albertalli, Becky",What If It's Us (What If It's Us Series),Banned Pending Investigation,"Silvera, Adam",,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Aleman, Daniel",Indivisible,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Alexander, Kwame",The Undefeated,Banned in Classrooms,,"Nelson, Kadir",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Alexander, Michelle",The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Alexander, Michelle",The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Banned Pending Investigation,,,,Texas,Klein Independent School District,December 2021,Administrator,2021-2022
"Alexander, Michelle",The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,,"Forney, Ellen",,Florida,Indian River County School District,November 2021,Administrator,2021-2022
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries and Classrooms,,"Forney, Ellen",,Florida,Jackson County School District,April 2022,Administrator,2021-2022
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries and Classrooms,,"Forney, Ellen",,Florida,Lee County Schools,March 2022,Administrator,2021-2022
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Florida,Santa Rosa County District Schools,April 2022,Administrator,2021-2022
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,,"Forney, Ellen",,Florida,St. Lucie Public Schools,January 2022,Formal Challenge,2021-2022
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Florida,Walton County School District,April 2022,Administrator,2021-2022
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,,"Forney, Ellen",,Georgia,Forsyth County Schools,January 2022,Administrator,2021-2022
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries and Classrooms,,"Forney, Ellen",,Idaho,Nampa School District,May 2022,Administrator,2021-2022
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,,"Forney, Ellen",,Iowa,Ankeny Community School District,November 2021,Formal Challenge,2021-2022
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Iowa,Ottumwa Community School District,April 2022,Administrator,2021-2022
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries and Classrooms,,"Forney, Ellen",,Kansas,Derby Public Schools,November 2021,Formal Challenge,2021-2022
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Kansas,Goddard Public Schools,November 2021,Administrator,2021-2022
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Michigan,Gladwin Community Schools,May 2022,Administrator,2021-2022
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,,"Forney, Ellen",,Mississippi,Madison County Schools,April 2022,Administrator,2021-2022
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Oklahoma,Bristow Public Schools,October 2021,Administrator,2021-2022
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Texas,Fredericksburg Independent School District,March 2022,Administrator,2021-2022
"Alexie, Sherman",Thunder Boy Jr.,Banned Pending Investigation,,"Morales, Yuyi",,Florida,Duval County Public Schools,January 2022,Administrator,2021-2022
"Alger, Cristina",Girls Like Us (2019),Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,2021-2022
"Alko, Selina",The Case for Loving: The Fight for Interracial Marriage,Banned in Classrooms,,"Qualls, Sean",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Allende, Isabel",The House of the Spirits,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator,2021-2022
"Alley, Kristy Dallas",The Ballad of Ami Miles,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Allison, Anthony",Hear These Voices: Youth at the Edge of the Millennium,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator,2021-2022
"Allman, John Robert",A is for Audra: Broadway's Leading Ladies from A to Z,Banned in Classrooms,,"Emmerich, Peter",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Altman, Linda Jacobs","Bioethics: Who Lives, Who Dies, And Who Decides?",Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,2021-2022
"Altman, Linda Jacobs","Bioethics: Who Lives, Who Dies, And Who Decides?",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
Amnesty International,We Are All Born Free: The Universal Declaration of Human Rights in Pictures,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Anaya, Rudolfo","Bless Me, Ultima",Banned Pending Investigation,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator,2021-2022
"Ancrum, K.",The Weight of the Stars,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Anders, Charlie Jane",Victories Greater Than Death (Unstoppable Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Anderson, Airlie",Neither,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator,2021-2022
"Anderson, Carol",White Rage: The Unspoken Truth of Our Racial Divide,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Anderson, Laurie Halse",Shout,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,2021-2022
"Anderson, Laurie Halse",Shout,Banned in Classrooms,,,,Texas,Leander Independent School District,September 2021,Administrator,2021-2022
"Anderson, Laurie Halse",Shout,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Anderson, Laurie Halse",Speak,Banned Pending Investigation,,,,Florida,Flagler Schools,November 2021,Administrator,2021-2022
"Anderson, Laurie Halse",Speak,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator,2021-2022
"Anderson, Laurie Halse",Speak,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator,2021-2022
"Anderson, Laurie Halse",Speak,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administrator,2021-2022
"Anderson, Laurie Halse",Speak,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator,2021-2022
"Anderson, Laurie Halse",Speak,Banned in Libraries,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator,2021-2022
"Anderson, M. T.",Feed,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator,2021-2022
"Andrews, Arin",Some Assembly Required: The Not-So-Secret Life of a Transgender Teen,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,2021-2022
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Florida,Osceola County School District,April 2022,Administrator,2021-2022
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,,,Georgia,Forsyth County Schools,January 2022,Administrator,2021-2022
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries,,,,Iowa,Ankeny Community School District,November 2021,Formal Challenge,2021-2022
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Pennsylvania,Downingtown Area School District,October 2021,Administrator,2021-2022
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Pennsylvania,Elizabethtown Area School District,April 2022,Formal Challenge,2021-2022
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries,,,,Tennessee,Blount County Schools,November 2021,Formal Challenge,2021-2022
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries,,,,Texas,Cypress-Fairbanks Independent School District,January 2022,Administrator,2021-2022
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator,2021-2022
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,2021-2022
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,,,Texas,Katy Independent School District,November 2021,Administrator,2021-2022
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries,,,,Texas,Keller Independent School District,November 2021,Formal Challenge,2021-2022
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Texas,Lamar Consolidated Independent School District,December 2021,Administrator,2021-2022
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Andrews, Jesse",The Haters,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administrator,2021-2022
"Andrews, Jesse",The Haters,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,2021-2022
"Andrews, Jesse",The Haters,Banned Pending Investigation,,,,Michigan,Rochester Community Schools District,April 2022,Administrator,2021-2022
"Andrews, Troy",The 5 O'Clock Band,Banned in Classrooms,,"Collier, Bryan",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Andrews, Troy",Trombone Shorty,Banned in Classrooms,,"Collier, Bryan",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Angelou, Maya",And Still I Rise,Banned Pending Investigation,,,,Texas,Klein Independent School District,December 2021,Administrator,2021-2022
"Angelou, Maya",I Know Why The Caged Bird Sings,Banned in Libraries and Classrooms,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator,2021-2022
"Angelou, Maya",I Know Why The Caged Bird Sings,Banned in Libraries and Classrooms,,,,Oklahoma,Edmond Public Schools,October 2021,Administrator,2021-2022
"Ansari, Aziz",Modern Romance: An Investigation,Banned Pending Investigation,"Klinenberg, Eric",,,Missouri,Wentzville School District,October 2021,Formal Challenge,2021-2022
"Anstey, Cindy",Duels and Deception,Banned in Libraries,,,,Texas,Katy Independent School District,April 2022,Administrator,2021-2022
"Apelqvist, Eva",LGBTQ Families: The Ultimate Teen Guide,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Applegate, Katherine",Wishtree,Banned in Libraries and Classrooms,,"Santoso, Charles",,Florida,Indian River County School District,November 2021,Administrator,2021-2022
"Armentrout, Jennifer L.",Meet Cute: Some People Are Destined to Meet,Banned Pending Investigation,"Clayton, Dhonielle; Cotugno, Katie; Davies, Jocelyn; LaCour, Nina; Lord, Emery; McGee, Katharine; Morgan, Kass; Russo, Meredith; Shepard, Sara; Yoon, Nicola; Zoboi, Ibi; Murphy, Julie",,,Texas,Granbury Independent School District,January 2022,Administrator,2021-2022
"Arnold, Elana K.",A Boy Called Bat (A Boy Called Bat Series),Banned in Classrooms,,"Santoso, Charles",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Arnold, Elana K.",Bat and the End of Everything (A Boy Called Bat Series),Banned in Classrooms,,"Santoso, Charles",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Arnold, Elana K.",Bat and the Waiting Game (A Boy Called Bat Series),Banned in Classrooms,,"Santoso, Charles",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Arnold, Elana K.",Damsel,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administrator,2021-2022
"Arnold, Elana K.",Infandous,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administrator,2021-2022
"Arnold, Elana K.",Infandous,Banned in Libraries,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator,2021-2022
"Arnold, Elana K.",Red Hood,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administrator,2021-2022
"Arnold, Elana K.",What Girls Are Made Of,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administrator,2021-2022
"Arnold, Elana K.",What Girls Are Made Of,Banned in Libraries and Classrooms,,,,Texas,Cypress-Fairbanks Independent School District,April 2022,Administrator,2021-2022
"Arnold, Elana K.",What Girls Are Made Of,Banned in Libraries and Classrooms,,,,Texas,Frisco Independent School District,May 2022,Administrator,2021-2022
"Asano, Inio",A Girl on the Shore,Banned in Libraries and Classrooms,,,,Ohio,Hudson City Schools,September 2021,Administrator,2021-2022
"Asher, Jay",Thirteen Reasons Why,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator,2021-2022
"Asher, Jay",Thirteen Reasons Why,Banned in Libraries and Classrooms,,,,Florida,Jackson County School District,April 2022,Administrator,2021-2022
"Asher, Jay",Thirteen Reasons Why,Banned in Libraries,,,,Florida,Lee County Schools,May 2022,Administrator,2021-2022
"Asher, Jay",Thirteen Reasons Why,Banned in Libraries,,,,Florida,Polk County Public Schools,January 2022,Administrator,2021-2022
"Asher, Jay",Thirteen Reasons Why,Banned Pending Investigation,,,,Florida,Santa Rosa County District Schools,April 2022,Administrator,2021-2022
"Asher, Jay",Thirteen Reasons Why,Banned in Libraries,,,,Florida,St. Johns County School District,May 2022,Formal Challenge,2021-2022
"Asher, Jay",Thirteen Reasons Why,Banned in Libraries,,,,Florida,St. Lucie Public Schools,December 2021,Formal Challenge,2021-2022
"Asher, Jay",Thirteen Reasons Why,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator,2021-2022
"Asher, Jay",Thirteen Reasons Why,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator,2021-2022
"Asher, Jay",Thirteen Reasons Why,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administrator,2021-2022
"Asher, Jay",Thirteen Reasons Why,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator,2021-2022
"Asher, Jay",Thirteen Reasons Why,Banned in Libraries,,,,Texas,Katy Independent School District,October 2021,Administrator,2021-2022
Atinuke,Anna Hibiscus (Anna Hibiscus Series),Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Atta, Dean",The Black Flamingo,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator,2021-2022
"Atta, Dean",The Black Flamingo,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Atta, Dean",The Black Flamingo,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator,2021-2022
"Atwood, Margaret",The Handmaid's Tale,Banned in Libraries,,,,Georgia,Forsyth County Schools,January 2022,Administrator,2021-2022
"Atwood, Margaret",The Handmaid's Tale,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator,2021-2022
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator,2021-2022
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administrator,2021-2022
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,,,Michigan,Rochester Community Schools District,April 2022,Administrator,2021-2022
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator,2021-2022
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,,,Texas,Klein Independent School District,November 2021,Administrator,2021-2022
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Banned Pending Investigation,,"Nault, Renee",,Kansas,Goddard Public Schools,November 2021,Administrator,2021-2022
"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Banned in Libraries,,"Nault, Renee",,Oregon,Medford School District 549C,April 2022,Formal Challenge,2021-2022
"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Banned in Classrooms,,"Nault, Renee",,Texas,Leander Independent School District,September 2021,Administrator,2021-2022
"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Banned Pending Investigation,,"Nault, Renee",,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Atwood, Margaret",The Testaments,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator,2021-2022
"Atwood, Margaret",The Testaments,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator,2021-2022
"Atwood, Megan",Raise the Stakes,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Austrian, J.J.",Worm Loves Worm,Banned in Classrooms,,"Curato, Mike",,Florida,Lee County Schools,March 2022,Administrator,2021-2022
"Austrian, J.J.",Worm Loves Worm,Banned Pending Investigation,,"Curato, Mike",,Florida,Walton County School District,April 2022,Administrator,2021-2022
"Azmitia, M.",Rising Out,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Bailey, Jacqui","Sex, Puberty, and All That Stuff: A Guide to Growing Up",Banned in Libraries,,"McCafferty, Jan",,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Baldacchino, Christine",Morris Micklewhite and the Tangerine Dress,Banned in Classrooms,,"Malenfant, Isabelle",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Baldacchino, Christine",Morris Micklewhite and the Tangerine Dress,Banned Pending Investigation,,"Malenfant, Isabelle",,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Banaji, Mahzarin R.",Blindspot: Hidden Biases of Good People,Banned in Classrooms,"Greenwald, Anthony G.",,,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Barakiva, Michael",One Man Guy,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Bardoe, Cheryl",Nothing Stopped Sophie: The Story of Unshakable Mathematician Sophie Germain,Banned in Classrooms,,"McClintock, Barbara",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Bardugo, Leigh",Six of Crows (Six of Crows Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Barnes, Derrick","Brand New School, Brave New Ruby (Ruby and the Booker Boys Series)",Banned in Classrooms,,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Barnes, Derrick",Crown: An Ode to the Fresh Cut,Banned in Classrooms,,"James, Gordon C.",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Barnes, Derrick",I Am Every Good Thing,Banned in Classrooms,,"James, Gordon C.",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Barnes, Derrick",Ruby Flips For Attention (Ruby and the Booker Boys Series),Banned in Classrooms,,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Barnes, Derrick",Slumber Party Payback (Ruby and the Booker Boys Series),Banned in Classrooms,,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Barnes, Derrick","Trivia Queen, 3rd Grade Supreme (Ruby and the Booker Boys Series)",Banned in Classrooms,,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Barnwell, Ysaye M.",No Mirrors in My Nana's House: Musical CD and Book,Banned in Classrooms,,"Saint James, Synthia",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Barrie, James Matthew",Peter Pan,Banned Pending Investigation,,,,Tennessee,Hamilton County Schools,October 2021,Administrator,2021-2022
"Bartoletti, Susan Campbell",They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator,2021-2022
"Bartoletti, Susan Campbell",They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,2021-2022
"Bartoletti, Susan Campbell",They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,Banned Pending Investigation,,,,Texas,Klein Independent School District,November 2021,Administrator,2021-2022
"Bartoletti, Susan Campbell",They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Barton, Bree",Heart of Thorns (Heart of Thorns Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Barton, Bree",Soul of Cinder (Heart of Thorns Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Barton, Bree",Tears of Frost (Heart of Thorns Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Barzak, Christopher",Wonders of the Invisible World,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Bashardoust, Melissa",Girls Made of Snow and Glass,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Bayron, Kalynn",Cinderella Is Dead,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Bayron, Kalynn",Cinderella Is Dead,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,2021-2022
"Bayron, Kalynn",Cinderella Is Dead,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Beashel, Amy",The Sky Is Mine,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Beaty, Andrea","Sofia Valdez, Future Prez (Questioneers Picture Books Series)",Banned in Classrooms,,"Roberts, David",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Beaty, Daniel",Knock Knock: My Dad's Dream for Me,Banned in Classrooms,,"Collier, Bryan",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Bechdel, Alison",Fun Home: A Family Tragicomic,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator,2021-2022
